t,x,y,yaw,h,dx,dy,dyaw,dh
0.000000,8.550000,1.800000,0.000000,0.412000,0.000000,0.000000,0.000000,0.000000
0.002000,8.550000,1.800009,0.000000,0.412000,0.000000,0.009240,0.000000,-0.000202
0.004000,8.550000,1.800037,0.000000,0.411999,0.000000,0.018480,0.000000,-0.000403
0.006000,8.550000,1.800083,0.000000,0.411998,0.000000,0.027720,0.000000,-0.000605
0.008000,8.550000,1.800148,0.000000,0.411997,0.000000,0.036960,0.000000,-0.000807
0.010000,8.550000,1.800231,0.000000,0.411995,0.000000,0.046200,0.000000,-0.001008
0.012000,8.550000,1.800333,0.000000,0.411993,0.000000,0.055440,0.000000,-0.001210
0.014000,8.550000,1.800453,0.000000,0.411990,0.000000,0.064680,0.000000,-0.001412
0.016000,8.550000,1.800591,0.000000,0.411987,0.000000,0.073920,0.000000,-0.001613
0.018000,8.550000,1.800748,0.000000,0.411984,0.000000,0.083159,0.000000,-0.001815
0.020000,8.550000,1.800924,0.000000,0.411980,0.000000,0.092399,0.000000,-0.002017
0.022000,8.550000,1.801118,0.000000,0.411976,0.000000,0.101639,0.000000,-0.002218
0.024000,8.550000,1.801331,0.000000,0.411971,0.000000,0.110879,0.000000,-0.002420
0.026000,8.550000,1.801562,0.000000,0.411966,0.000000,0.120119,0.000000,-0.002622
0.028000,8.550000,1.801811,0.000000,0.411960,0.000000,0.129359,0.000000,-0.002823
0.030000,8.550000,1.802079,0.000000,0.411955,0.000000,0.138599,0.000000,-0.003025
0.032000,8.550000,1.802365,0.000000,0.411948,0.000000,0.147839,0.000000,-0.003227
0.034000,8.550000,1.802670,0.000000,0.411942,0.000000,0.157079,0.000000,-0.003428
0.036000,8.550000,1.802994,0.000000,0.411935,0.000000,0.166319,0.000000,-0.003630
0.038000,8.550000,1.803336,0.000000,0.411927,0.000000,0.175559,0.000000,-0.003832
0.040000,8.550000,1.803696,0.000000,0.411919,0.000000,0.184799,0.000000,-0.004033
0.042000,8.550000,1.804075,0.000000,0.411911,0.000000,0.194039,0.000000,-0.004235
0.044000,8.550000,1.804472,0.000000,0.411902,0.000000,0.203279,0.000000,-0.004437
0.046000,8.550000,1.804888,0.000000,0.411893,0.000000,0.212519,0.000000,-0.004638
0.048000,8.550000,1.805322,0.000000,0.411884,0.000001,0.221759,0.000000,-0.004840
0.050000,8.550000,1.805775,0.000000,0.411874,0.000001,0.230998,0.000000,-0.005042
0.052000,8.550000,1.806246,0.000000,0.411864,0.000001,0.240238,0.000000,-0.005243
0.054000,8.550000,1.806736,0.000000,0.411853,0.000001,0.249478,0.000000,-0.005445
0.056000,8.550000,1.807244,0.000000,0.411842,0.000001,0.258718,0.000000,-0.005647
0.058000,8.550000,1.807771,0.000000,0.411830,0.000001,0.267958,0.000000,-0.005848
