t,x,y,yaw,h,dx,dy,dyaw,dh
0.000000,6.400000,5.400000,0.000000,0.215000,0.000000,0.000000,0.000000,0.000000
0.002000,6.400008,5.400001,0.000000,0.215005,0.008430,0.000733,0.000000,0.005111
0.004000,6.400034,5.400003,0.000000,0.215020,0.016860,0.001466,0.000000,0.010222
0.006000,6.400076,5.400007,0.000000,0.215046,0.025290,0.002199,0.000000,0.015333
0.008000,6.400135,5.400012,0.000000,0.215082,0.033719,0.002932,0.000000,0.020444
0.010000,6.400211,5.400018,0.000000,0.215128,0.042149,0.003666,0.000000,0.025555
0.012000,6.400303,5.400026,0.000000,0.215184,0.050579,0.004399,0.000000,0.030666
0.014000,6.400413,5.400036,0.000000,0.215250,0.059009,0.005132,0.000000,0.035778
0.016000,6.400539,5.400047,0.000000,0.215327,0.067439,0.005865,0.000000,0.040889
0.018000,6.400683,5.400059,0.000000,0.215414,0.075869,0.006598,0.000000,0.046000
0.020000,6.400843,5.400073,0.000000,0.215511,0.084298,0.007331,0.000000,0.051111
0.022000,6.401020,5.400089,0.000000,0.215618,0.092728,0.008064,0.000000,0.056222
0.024000,6.401214,5.400106,0.000000,0.215736,0.101158,0.008797,0.000000,0.061333
0.026000,6.401425,5.400124,0.000000,0.215864,0.109588,0.009531,0.000000,0.066444
0.028000,6.401652,5.400144,0.000000,0.216002,0.118018,0.010264,0.000000,0.071555
0.030000,6.401897,5.400165,0.000000,0.216150,0.126448,0.010997,0.000000,0.076666
0.032000,6.402158,5.400188,0.000000,0.216308,0.134877,0.011730,0.000000,0.081777
0.034000,6.402436,5.400212,0.000000,0.216475,0.143543,0.012227,0.000000,0.085050
0.036000,6.402732,5.400237,0.000000,0.216649,0.152244,0.012689,0.000000,0.088048
0.038000,6.403045,5.400262,0.000000,0.216828,0.160945,0.013151,0.000000,0.091045
0.040000,6.403376,5.400289,0.000000,0.217013,0.169647,0.013613,0.000000,0.094043
0.042000,6.403724,5.400317,0.000000,0.217204,0.178348,0.014074,0.000000,0.097041
0.044000,6.404089,5.400345,0.000000,0.217401,0.187049,0.014536,0.000000,0.100039
0.046000,6.404472,5.400375,0.000000,0.217604,0.195750,0.014998,0.000000,0.103037
0.048000,6.404872,5.400405,0.000000,0.217813,0.204451,0.015460,0.000000,0.106034
0.050000,6.405290,5.400437,0.000000,0.218028,0.213152,0.015922,0.000000,0.109032
0.052000,6.405725,5.400469,0.000000,0.218249,0.221853,0.016384,0.000000,0.112030
0.054000,6.406177,5.400502,0.000000,0.218476,0.230554,0.016845,0.000000,0.115028
0.056000,6.406647,5.400537,0.000000,0.218709,0.239256,0.017307,0.000000,0.118025
0.058000,6.407134,5.400572,0.000000,0.218948,0.247957,0.017769,0.000000,0.121023
0.060000,6.407639,5.400608,0.000000,0.219193,0.256658,0.018231,0.000000,0.124021
0.062000,6.408161,5.400645,0.000000,0.219444,0.265359,0.018693,0.000000,0.127019
0.064000,6.408700,5.400682,0.000000,0.219701,0.274060,0.019155,0.000000,0.130017
0.066000,6.409257,5.400721,0.000000,0.219963,0.282855,0.019523,0.000000,0.131360
0.068000,6.409832,5.400760,0.000000,0.220227,0.291682,0.019859,0.000000,0.132121
0.070000,6.410424,5.400801,0.000000,0.220492,0.300509,0.020194,0.000000,0.132882
0.072000,6.411034,5.400841,0.000000,0.220758,0.309336,0.020530,0.000000,0.133644
0.074000,6.411661,5.400883,0.000000,0.221026,0.318164,0.020866,0.000000,0.134405
0.076000,6.412307,5.400925,0.000000,0.221296,0.326991,0.021202,0.000000,0.135166
0.078000,6.412969,5.400967,0.000000,0.221567,0.335818,0.021537,0.000000,0.135928
0.080000,6.413650,5.401011,0.000000,0.221840,0.344645,0.021873,0.000000,0.136689
0.082000,6.414348,5.401055,0.000000,0.222114,0.353473,0.022209,0.000000,0.137451
0.084000,6.415064,5.401100,0.000000,0.222389,0.362300,0.022544,0.000000,0.138212
0.086000,6.415797,5.401145,0.000000,0.222667,0.371127,0.022880,0.000000,0.138973
0.088000,6.416548,5.401191,0.000000,0.222945,0.379954,0.023216,0.000000,0.139735
0.090000,6.417317,5.401238,0.000000,0.223226,0.388782,0.023551,0.000000,0.140496
0.092000,6.418103,5.401285,0.000000,0.223507,0.397609,0.023887,0.000000,0.141257
0.094000,6.418907,5.401334,0.000000,0.223791,0.406436,0.024223,0.000000,0.142019
0.096000,6.419729,5.401382,0.000000,0.224075,0.415264,0.024558,0.000000,0.142780
0.098000,6.420568,5.401432,0.000000,0.224362,0.424135,0.024850,0.000000,0.143212
0.100000,6.421426,5.401482,0.000000,0.224648,0.433034,0.025113,0.000000,0.143432
0.102000,6.422301,5.401532,0.000000,0.224935,0.441934,0.025377,0.000000,0.143653
0.104000,6.423193,5.401583,0.000000,0.225223,0.450834,0.025640,0.000000,0.143873
0.106000,6.424104,5.401635,0.000000,0.225511,0.459733,0.025904,0.000000,0.144094
0.108000,6.425032,5.401687,0.000000,0.225799,0.468633,0.026167,0.000000,0.144314
0.110000,6.425978,5.401739,0.000000,0.226088,0.477532,0.026430,0.000000,0.144535
0.112000,6.426942,5.401793,0.000000,0.226377,0.486432,0.026694,0.000000,0.144756
0.114000,6.427924,5.401846,0.000000,0.226667,0.495331,0.026957,0.000000,0.144976
0.116000,6.428924,5.401900,0.000000,0.226957,0.504231,0.027221,0.000000,0.145197
0.118000,6.429941,5.401955,0.000000,0.227248,0.513130,0.027484,0.000000,0.145417
0.120000,6.430976,5.402010,0.000000,0.227539,0.522030,0.027747,0.000000,0.145638
0.122000,6.432029,5.402066,0.000000,0.227830,0.530930,0.028011,0.000000,0.145858
0.124000,6.433100,5.402122,0.000000,0.228122,0.539829,0.028274,0.000000,0.146079
0.126000,6.434189,5.402179,0.000000,0.228415,0.548729,0.028538,0.000000,0.146300
0.128000,6.435295,5.402237,0.000000,0.228707,0.557628,0.028801,0.000000,0.146520
0.130000,6.436419,5.402294,0.000000,0.229001,0.566550,0.029042,0.000000,0.146638
0.132000,6.437561,5.402353,0.000000,0.229294,0.575497,0.029259,0.000000,0.146645
0.134000,6.438721,5.402411,0.000000,0.229587,0.584443,0.029475,0.000000,0.146651
0.136000,6.439899,5.402471,0.000000,0.229881,0.593389,0.029692,0.000000,0.146658
0.138000,6.441095,5.402530,0.000000,0.230174,0.602335,0.029909,0.000000,0.146664
0.140000,6.442308,5.402590,0.000000,0.230467,0.611282,0.030125,0.000000,0.146671
0.142000,6.443540,5.402651,0.000000,0.230761,0.620228,0.030342,0.000000,0.146677
0.144000,6.444789,5.402712,0.000000,0.231054,0.629174,0.030558,0.000000,0.146684
0.146000,6.446056,5.402773,0.000000,0.231347,0.638121,0.030775,0.000000,0.146690
0.148000,6.447342,5.402835,0.000000,0.231641,0.647067,0.030992,0.000000,0.146696
0.150000,6.448645,5.402897,0.000000,0.231934,0.656013,0.031208,0.000000,0.146703
0.152000,6.449966,5.402959,0.000000,0.232228,0.664960,0.031425,0.000000,0.146709
0.154000,6.451305,5.403023,0.000000,0.232521,0.673906,0.031642,0.000000,0.146716
0.156000,6.452661,5.403086,0.000000,0.232814,0.682852,0.031858,0.000000,0.146722
0.158000,6.454036,5.403150,0.000000,0.233108,0.691799,0.032075,0.000000,0.146729
0.160000,6.455429,5.403214,0.000000,0.233401,0.700745,0.032292,0.000000,0.146735
0.162000,6.456839,5.403279,0.000000,0.233695,0.709703,0.032497,0.000000,0.146702
0.164000,6.458267,5.403344,0.000000,0.233988,0.718682,0.032681,0.000000,0.146594
0.166000,6.459714,5.403410,0.000000,0.234281,0.727661,0.032865,0.000000,0.146486
0.168000,6.461178,5.403476,0.000000,0.234574,0.736640,0.033049,0.000000,0.146377
0.170000,6.462660,5.403542,0.000000,0.234867,0.745619,0.033233,0.000000,0.146269
0.172000,6.464160,5.403609,0.000000,0.235159,0.754598,0.033416,0.000000,0.146161
0.174000,6.465679,5.403676,0.000000,0.235451,0.763577,0.033600,0.000000,0.146053
0.176000,6.467215,5.403743,0.000000,0.235743,0.772556,0.033784,0.000000,0.145945
0.178000,6.468769,5.403811,0.000000,0.236035,0.781535,0.033968,0.000000,0.145837
0.180000,6.470341,5.403879,0.000000,0.236327,0.790514,0.034152,0.000000,0.145728
0.182000,6.471931,5.403947,0.000000,0.236618,0.799493,0.034336,0.000000,0.145620
0.184000,6.473539,5.404016,0.000000,0.236909,0.808472,0.034520,0.000000,0.145512
0.186000,6.475165,5.404086,0.000000,0.237200,0.817451,0.034704,0.000000,0.145404
0.188000,6.476809,5.404155,0.000000,0.237491,0.826430,0.034888,0.000000,0.145296
0.190000,6.478471,5.404225,0.000000,0.237781,0.835409,0.035072,0.000000,0.145188
0.192000,6.480150,5.404295,0.000000,0.238071,0.844388,0.035256,0.000000,0.145079
0.194000,6.481848,5.404366,0.000000,0.238362,0.853372,0.035434,0.000000,0.144955
0.196000,6.483564,5.404437,0.000000,0.238651,0.862375,0.035594,0.000000,0.144776
0.198000,6.485298,5.404509,0.000000,0.238941,0.871378,0.035754,0.000000,0.144596
0.200000,6.487049,5.404580,0.000000,0.239230,0.880382,0.035914,0.000000,0.144416
0.202000,6.488819,5.404652,0.000000,0.239518,0.889385,0.036074,0.000000,0.144236
0.204000,6.490607,5.404724,0.000000,0.239807,0.898388,0.036233,0.000000,0.144056
0.206000,6.492413,5.404797,0.000000,0.240095,0.907391,0.036393,0.000000,0.143876
0.208000,6.494236,5.404870,0.000000,0.240382,0.916394,0.036553,0.000000,0.143696
0.210000,6.496078,5.404943,0.000000,0.240669,0.925397,0.036713,0.000000,0.143516
0.212000,6.497938,5.405017,0.000000,0.240956,0.934401,0.036873,0.000000,0.143336
0.214000,6.499816,5.405091,0.000000,0.241243,0.943404,0.037032,0.000000,0.143156
0.216000,6.501712,5.405165,0.000000,0.241529,0.952407,0.037192,0.000000,0.142976
0.218000,6.503625,5.405240,0.000000,0.241815,0.961410,0.037352,0.000000,0.142796
0.220000,6.505557,5.405314,0.000000,0.242100,0.970413,0.037512,0.000000,0.142616
0.222000,6.507507,5.405390,0.000000,0.242385,0.979416,0.037672,0.000000,0.142436
0.224000,6.509475,5.405465,0.000000,0.242670,0.988419,0.037831,0.000000,0.142256
0.226000,6.511461,5.405541,0.000000,0.242954,0.997424,0.037989,0.000000,0.142072
0.228000,6.513465,5.405617,0.000000,0.243238,1.006446,0.038131,0.000000,0.141842
0.230000,6.515487,5.405693,0.000000,0.243521,1.015468,0.038272,0.000000,0.141613
0.232000,6.517527,5.405770,0.000000,0.243804,1.024489,0.038413,0.000000,0.141384
0.234000,6.519585,5.405847,0.000000,0.244087,1.033511,0.038554,0.000000,0.141154
0.236000,6.521661,5.405924,0.000000,0.244369,1.042533,0.038696,0.000000,0.140925
0.238000,6.523755,5.406002,0.000000,0.244651,1.051555,0.038837,0.000000,0.140696
0.240000,6.525867,5.406080,0.000000,0.244932,1.060576,0.038978,0.000000,0.140466
0.242000,6.527997,5.406158,0.000000,0.245213,1.069598,0.039119,0.000000,0.140237
0.244000,6.530145,5.406236,0.000000,0.245493,1.078620,0.039261,0.000000,0.140008
0.246000,6.532311,5.406315,0.000000,0.245773,1.087641,0.039402,0.000000,0.139778
0.248000,6.534496,5.406394,0.000000,0.246052,1.096663,0.039543,0.000000,0.139549
0.250000,6.536698,5.406473,0.000000,0.246331,1.105685,0.039684,0.000000,0.139320
0.252000,6.538918,5.406553,0.000000,0.246609,1.114706,0.039826,0.000000,0.139090
0.254000,6.541157,5.406632,0.000000,0.246887,1.123728,0.039967,0.000000,0.138861
0.256000,6.543413,5.406712,0.000000,0.247165,1.132750,0.040108,0.000000,0.138632
0.258000,6.545688,5.406793,0.000000,0.247442,1.141772,0.040249,0.000000,0.138402
0.260000,6.547981,5.406873,0.000000,0.247718,1.150807,0.040376,0.000000,0.138138
0.262000,6.550291,5.406954,0.000000,0.247994,1.159844,0.040503,0.000000,0.137873
0.264000,6.552620,5.407035,0.000000,0.248270,1.168880,0.040629,0.000000,0.137607
0.266000,6.554967,5.407117,0.000000,0.248545,1.177917,0.040756,0.000000,0.137342
0.268000,6.557332,5.407198,0.000000,0.248819,1.186953,0.040883,0.000000,0.137076
0.270000,6.559714,5.407280,0.000000,0.249093,1.195989,0.041009,0.000000,0.136810
0.272000,6.562116,5.407362,0.000000,0.249366,1.205026,0.041136,0.000000,0.136545
